id,emoji,description,ocurrences
9093,🖼,framed picture,1
9093,👉,backhand index pointing right,2
9095,🔥,fire,3
9097,♟️,chess pawn,1
9098,❤️,red heart,1
9098,💚,green heart,1
9098,💛,yellow heart,1
9100,🇳🇬,flag: Nigeria,1
9102,💾,floppy disk,1
9102,👍,thumbs up,1
9102,💬,speech balloon,1
9102,😍,smiling face with heart-eyes,1
9102,🚶‍♂️,man walking,1
9102,🔁,repeat button,1
9103,🍫,chocolate bar,1
9104,❤️,red heart,1
9105,🤯,exploding head,1
9108,🌟,glowing star,1
9108,✨,sparkles,2
9108,🏆,trophy,2
9108,💫,dizzy,1
9108,🎉,party popper,2
9108,💪,flexed biceps,1
9108,🙌,raising hands,1
9108,🌴,palm tree,1
9111,🧠,brain,1
9111,♟️,chess pawn,1
9111,🔥,fire,1
9115,😉,winking face,1
9117,🚀,rocket,1
9119,🙉,hear-no-evil monkey,1
9119,😂,face with tears of joy,2
9122,♟️,chess pawn,1
9122,🏆,trophy,1
9126,♟,chess pawn,1
9127,♟,chess pawn,1
9127,😲,astonished face,1
9129,❤️‍🔥,heart on fire,2
9133,💫,dizzy,1
9133,😉,winking face,1
9135,👏,clapping hands,3
9135,❣️,heart exclamation,1
9137,☀️,sun,1
9137,🏁,chequered flag,1
9137,💚,green heart,1
9139,♟,chess pawn,2
