text_id,labels,type,text
1080957,-1,PERSON,Ansu Fati
1080957,-1,ORGANIZATION,Negreira
1080957,-1,ORGANIZATION,Villar
1080957,-1,ORGANIZATION,Federación
1080957,-1,ORGANIZATION,Liga
1080957,-1,ORGANIZATION,Roures
1080957,-1,ORGANIZATION,Fifa
1080957,-1,ORGANIZATION,Uefa
1080880,26,PERSON,Negreira
1080880,26,PERSON,Medina Cantalejo
1080880,26,PERSON,Negreira
1080993,-1,ORGANIZATION,RFEF
1080993,-1,ORGANIZATION,CTA
1080978,-1,ORGANIZATION,FIFA
1080978,-1,ORGANIZATION,Barsa
1080978,-1,PERSON,Negreira
1080955,0,PERSON,@tano_bosi
1080964,-1,ORGANIZATION,Ministerio Fiscal de España
1080964,-1,ORGANIZATION,Tribunales
1080964,-1,PERSON,vicepresidente
1080964,-1,ORGANIZATION,Barsa
1080955,0,PERSON,@cuinto68
1080955,0,PERSON,@PETERBELAN10
1080955,0,PERSON,@buddha_nft
1080955,0,PERSON,@Meherun21
1080955,0,PERSON,@denizor_us
1080955,0,PERSON,@harpseal_ung
1080955,0,ORGANIZATION,@TheSocialFarm
1080955,0,PERSON,@chetgarri
1080921,0,PERSON,Saabun
1080955,0,PERSON,@CroFairy
1080955,0,PERSON,@jorgmg2
1080955,0,PERSON,@barsa_luigi
1080850,-1,ORGANIZATION,SER
1080850,-1,ORGANIZATION,Agencia Tributaria
1080850,-1,PERSON,Enríquez Negreira
1080850,-1,PERSON,Tito Berni
1080850,-1,EVENT,huracán Berni
1080941,0,PERSON,Barsa
1081053,17,ORGANIZATION,Barça
1081053,17,PERSON,Negreira
1080991,0,PERSON,Alex
1080991,0,PERSON,Messi
1080973,-1,PERSON,Negreira
1080910,-1,PERSON,negreira
1080944,-1,ORGANIZATION,Negreira
1080912,0,ORGANIZATION,Coldplay
1080912,0,PERSON,barsa
1081003,0,ORGANIZATION,Madrid
1080996,33,PERSON,Negreira
1080996,33,PERSON,Benzemá
1080992,-1,PERSON,Negreira
1080992,-1,ORGANIZATION,Barça
1080992,-1,PERSON,Negreira
1080992,-1,PERSON,Negreiraaaaaa
1080992,-1,ORGANIZATION,Barça
1080992,-1,PERSON,Negreiraaa
1081035,1,PERSON,Mandril
1081035,1,PERSON,Negreira
1080891,0,ORGANIZATION,Barsa
1080891,0,PERSON,Aleksander Ceferin
1080891,0,PERSON,presidente
1080891,0,ORGANIZATION,UEFA
1080891,0,ORGANIZATION,Barça
1080891,0,EVENT,Champions
1080891,0,ORGANIZATION,elnacionalcat_e
1081069,-1,PERSON,Collina
1081069,-1,PERSON,Butragueño
1081069,-1,PERSON,Negreira
1081069,-1,ORGANIZATION,Twitter
1081087,-1,ORGANIZATION,YouTube
1080959,28,PERSON,Marsallorente
1081005,-1,PERSON,Negreira
1080994,28,PERSON,Negreira'
1080994,28,ORGANIZATION,Barça'
1080869,-1,ORGANIZATION,CTARFEF
1080869,-1,PERSON,Enríquez Negreira
1080920,0,ORGANIZATION,TVE 1
1080920,0,EVENT,COPA
1080920,0,ORGANIZATION,EL
1080920,0,ORGANIZATION,OSASUNA
1080920,0,ORGANIZATION,BILBAO
1080920,0,ORGANIZATION,MADRID
1080920,0,ORGANIZATION,BARSA
1080920,0,ORGANIZATION,EL
1080920,0,ORGANIZATION,MADRID
1080920,0,ORGANIZATION,BARSA
1081059,-1,ORGANIZATION,'caso
1081059,-1,PERSON,Negreira'
1081059,-1,PERSON,PReina25
1081059,-1,ORGANIZATION,VillarrealCF
1080796,-1,PERSON,Pucela
1080844,47,PERSON,Negreira
1080844,47,PERSON,Negreira
1080886,17,ORGANIZATION,litrosdalcohol
1081056,-1,ORGANIZATION,Negreira
1080990,0,ORGANIZATION,Barsa
1080990,0,ORGANIZATION,Trampas FC
1081045,-1,ORGANIZATION,los Cules
1081045,-1,PERSON,cules
1080966,0,PERSON,Luis Enrique
1080966,0,PERSON,Ferran
1081025,8,PERSON,Negreira
1080868,3,PERSON,Tebas
1080868,3,PERSON,Laporta
1080933,23,PERSON,Negreira
1080989,-1,ORGANIZATION,Barsa
1080989,-1,EVENT,The Best
1080950,46,PERSON,Negreira
1080886,17,ORGANIZATION,Barça
1081082,0,PERSON,Javier Hernández
1081082,0,PERSON,Don Vinicius
1081082,0,PERSON,José Dos Santos Aveiro Jr
1080906,52,PERSON,Negreira
1080906,52,PERSON,Pelopincho…
1080906,52,PERSON,Dios
1081062,-1,ORGANIZATION,carlosplus
1081062,-1,PERSON,Enríquez Negreira Junior
1081062,-1,PERSON,pelos
1081062,-1,PERSON,RichardDees
1081041,-1,PERSON,Ostia
1081041,-1,ORGANIZATION,Movistar
1081041,-1,PERSON,Negreira jr
1080977,10,PERSON,Negreira
1080977,10,PERSON,Tongo
1080878,24,ORGANIZATION,Barcelona
1080878,24,ORGANIZATION,Madrid
1080878,24,PERSON,Negreira
