text_id,text,type
1081602,negreira,PERSON
1081434,negreira fc,ORGANIZATION
1081781,xavi,PERSON
1081872,fc barcelona,ORGANIZATION
1081872,fc barcelona,ORGANIZATION
1081472,negreira,PERSON
1081630,negreira,PERSON
1081100,negreira,PERSON
1081104,barcelona,ORGANIZATION
1081849,barsa,ORGANIZATION
1081849,negreira,ORGANIZATION
1081576,negreira,PERSON
1081190,negreira,PERSON
1081981,barsa,PERSON
1081981,enríquez negreira,PERSON
1081981,madrid,ORGANIZATION
1081981,madrid,ORGANIZATION
1081938,real madrid,ORGANIZATION
1081311,negreira,PERSON
1081311,barça,ORGANIZATION
1081507,barcelona,ORGANIZATION
1081507,negreira,PERSON
1081956,negreira fc,ORGANIZATION
1081857,negreira,PERSON
1081290,negreira,PERSON
1081290,barça,ORGANIZATION
1081613,fc barcelona,ORGANIZATION
1081613,negreira,PERSON
1081384,vinicius,PERSON
1081384,negreira,PERSON
1081460,barsa,ORGANIZATION
1081164,negreira,PERSON
1081485,barcelona,ORGANIZATION
1081485,negreira,PERSON
1081485,madrid,ORGANIZATION
1081368,negreira,PERSON
1081368,barça,ORGANIZATION
1081495,enríquez negreira,PERSON
1081662,negreira,PERSON
1081553,barça,ORGANIZATION
1081553,barça,ORGANIZATION
1081553,negreira,PERSON
1081278,barsa,ORGANIZATION
1081278,rfef,PERSON
1081278,ctarfef,ORGANIZATION
1081947,negreira,PERSON
1081220,barsa,LOCATION
1081498,barça,ORGANIZATION
1081498,negreira,PERSON
1081498,madrid,ORGANIZATION
1081376,negreira,PERSON
1081332,barsa,LOCATION
1081345,negreira,PERSON
1081284,negreira,PERSON
1081977,vini,PERSON
1081977,negreira,PERSON
1081795,laporta,PERSON
1081795,negreira,PERSON
1081728,ancelotti,PERSON
1081728,negreira',PERSON
1081515,madrid,ORGANIZATION
1081515,barsa,ORGANIZATION
1081601,negreira,PERSON
1081645,negreira,PERSON
1081645,fc barcelona,ORGANIZATION
1081960,negreira,PERSON
1081212,ctarfef,ORGANIZATION
1081212,negreira,PERSON
1081665,madrid,LOCATION
1081874,enríquez negreira,PERSON
1081572,fc barcelona,ORGANIZATION
1081325,negreira,PERSON
1081550,negreira,PERSON
1081955,enríquez negreira,PERSON
1081777,real madrid,ORGANIZATION
1081572,negreira',PERSON
1081777,barsa,ORGANIZATION
1081803,negreira,PERSON
1081365,negreira,PERSON
1081700,negreira,PERSON
1081347,negreira,PERSON
1081347,barça,ORGANIZATION
1081634,cta,ORGANIZATION
1081910,laporta,PERSON
1081910,negreira,PERSON
1081592,pedri,PERSON
1081592,barça,ORGANIZATION
1081188,negreira,PERSON
1081971,negreira,PERSON
1081129,barça,ORGANIZATION
1081129,negreira,PERSON
1081732,barsa,ORGANIZATION
1081213,barsa,ORGANIZATION
1081698,negreira,PERSON
1081096,barcelona,ORGANIZATION
1081096,negreira,PERSON
1081096,barcelona,ORGANIZATION
1081281,negreira,PERSON
1081281,barça,ORGANIZATION
1081583,barsa,TITLE
1081890,negreira,LOCATION
