text_id,date,labels,positive_score,neutral_score,negative_score
1081192,2023-03-02,-1,0.17,0.48,0.35
1081193,2023-03-02,101,0.02,0.97,0.01
1081194,2023-03-02,33,0.04,0.95,0.01
1081195,2023-03-02,-1,0.18,0.79,0.03
1081196,2023-03-02,-1,0.01,0.06,0.93
1081197,2023-03-02,186,0.32,0.59,0.09
1081198,2023-03-02,1,0.86,0.14,0.0
1081199,2023-03-02,-1,0.02,0.27,0.71
1081200,2023-03-02,137,0.01,0.13,0.86
1081201,2023-03-02,40,0.08,0.75,0.16
1081202,2023-03-02,-1,0.01,0.92,0.07
1081203,2023-03-02,-1,0.04,0.95,0.01
1081204,2023-03-02,67,0.03,0.68,0.29
1081205,2023-03-02,-1,0.02,0.81,0.17
1081206,2023-03-02,-1,0.94,0.06,0.0
1081207,2023-03-02,67,0.02,0.52,0.46
1081208,2023-03-02,-1,0.01,0.71,0.28
1081209,2023-03-02,0,0.09,0.9,0.01
1081210,2023-03-02,53,0.03,0.62,0.35
1081211,2023-03-02,132,0.04,0.94,0.03
1081212,2023-03-02,-1,0.01,0.33,0.66
1081213,2023-03-02,40,0.05,0.25,0.7
1081214,2023-03-02,-1,0.22,0.76,0.02
1081215,2023-03-02,1,0.99,0.01,0.0
1081216,2023-03-02,9,0.01,0.72,0.26
1081217,2023-03-02,-1,0.11,0.89,0.0
1081218,2023-03-02,40,0.13,0.81,0.06
1081219,2023-03-02,21,0.02,0.6,0.38
1081220,2023-03-01,95,0.01,0.25,0.74
1081221,2023-03-01,-1,0.06,0.93,0.02
1081222,2023-03-01,-1,0.06,0.72,0.22
1081223,2023-03-01,1,0.61,0.32,0.07
1081224,2023-03-01,-1,0.03,0.57,0.4
1081225,2023-03-01,-1,0.58,0.41,0.01
1081226,2023-03-01,0,0.02,0.27,0.71
1081227,2023-03-01,40,0.07,0.86,0.06
1081228,2023-03-01,188,0.02,0.24,0.74
1081229,2023-03-01,1,0.12,0.84,0.04
1081230,2023-03-01,-1,0.02,0.21,0.77
1081231,2023-03-01,139,0.02,0.18,0.8
1081232,2023-03-01,14,0.02,0.92,0.05
1081233,2023-03-01,0,0.14,0.7,0.17
1081234,2023-03-01,33,0.05,0.78,0.17
1081235,2023-03-01,1,0.19,0.55,0.26
1081236,2023-03-01,14,0.02,0.93,0.05
1081237,2023-03-01,39,0.03,0.53,0.44
1081238,2023-03-01,-1,0.01,0.36,0.63
1081239,2023-03-01,-1,0.48,0.51,0.01
1081240,2023-03-01,14,0.2,0.8,0.01
1081241,2023-03-01,-1,0.05,0.45,0.5
1081243,2023-03-01,-1,0.02,0.21,0.77
1081244,2023-03-01,14,0.03,0.95,0.02
1081245,2023-03-01,14,0.03,0.95,0.02
1081246,2023-03-01,103,0.11,0.85,0.04
1081247,2023-03-01,186,0.13,0.78,0.09
1081248,2023-03-01,11,0.02,0.77,0.21
1081249,2023-03-01,14,0.02,0.96,0.02
1081250,2023-03-01,11,0.02,0.82,0.16
1081251,2023-03-01,58,0.01,0.08,0.92
1081252,2023-03-01,1,0.13,0.78,0.09
1081253,2023-03-01,-1,0.01,0.36,0.63
1081254,2023-03-01,80,0.02,0.56,0.42
1081255,2023-03-01,128,0.03,0.91,0.06
1081256,2023-03-01,-1,0.01,0.27,0.71
1081696,2023-03-01,10,0.02,0.5,0.49
1081257,2023-03-01,14,0.04,0.92,0.05
1081258,2023-03-01,62,0.09,0.88,0.03
1081259,2023-03-01,14,0.05,0.94,0.01
1081260,2023-03-01,134,0.01,0.24,0.74
1081261,2023-03-01,29,0.05,0.94,0.01
1081262,2023-03-01,1,0.59,0.38,0.03
1081263,2023-03-01,-1,0.04,0.93,0.03
1081264,2023-03-01,-1,0.03,0.45,0.52
1081265,2023-03-01,1,0.95,0.04,0.0
1081266,2023-03-01,18,0.07,0.92,0.01
1081267,2023-03-01,80,0.35,0.3,0.35
1081268,2023-03-01,14,0.03,0.95,0.02
1081269,2023-03-01,-1,0.99,0.01,0.0
1081270,2023-03-01,-1,0.02,0.84,0.14
1081271,2023-03-01,-1,0.03,0.41,0.56
1081272,2023-03-01,21,0.02,0.47,0.51
1081273,2023-03-01,-1,0.05,0.73,0.22
1081274,2023-03-01,-1,0.76,0.24,0.0
1081275,2023-03-01,0,0.04,0.94,0.02
1081276,2023-03-01,14,0.03,0.91,0.06
1081277,2023-03-01,21,0.01,0.34,0.65
1081278,2023-03-01,-1,0.01,0.29,0.7
1081279,2023-03-01,-1,0.02,0.71,0.27
1081280,2023-03-01,-1,0.17,0.67,0.16
1081281,2023-03-01,65,0.02,0.94,0.04
1081282,2023-03-01,-1,0.73,0.27,0.0
1081283,2023-03-01,-1,0.04,0.94,0.01
1081284,2023-03-01,-1,0.06,0.3,0.64
1081285,2023-03-01,21,0.01,0.74,0.25
1081288,2023-03-01,-1,0.03,0.52,0.45
1081289,2023-03-01,21,0.07,0.76,0.16
1081318,2023-03-01,73,0.02,0.29,0.7
1081290,2023-03-01,65,0.01,0.26,0.73
1081291,2023-03-01,1,0.17,0.81,0.02
1081292,2023-03-01,65,0.02,0.94,0.04
1081293,2023-03-01,-1,0.02,0.62,0.36
1081294,2023-03-01,-1,0.05,0.92,0.03
1081295,2023-03-01,-1,0.06,0.36,0.58
1081296,2023-03-01,-1,0.92,0.07,0.01
1081297,2023-03-01,-1,0.03,0.69,0.28
1081298,2023-03-01,-1,0.02,0.35,0.62
1081299,2023-03-01,55,0.81,0.18,0.01
1081300,2023-03-01,163,0.01,0.58,0.41
1081301,2023-03-01,80,0.01,0.32,0.67
1081302,2023-03-01,65,0.03,0.94,0.03
1081303,2023-03-01,0,0.04,0.94,0.01
1081304,2023-03-01,-1,0.01,0.09,0.9
1081305,2023-03-01,-1,0.06,0.92,0.03
1081306,2023-03-01,21,0.01,0.47,0.52
1081307,2023-03-01,33,0.02,0.83,0.15
1081308,2023-03-01,14,0.03,0.95,0.02
1081309,2023-03-01,-1,0.01,0.59,0.4
1081310,2023-03-01,65,0.02,0.94,0.04
1081311,2023-03-01,80,0.01,0.52,0.47
1081312,2023-03-01,-1,0.01,0.17,0.82
1081313,2023-03-01,-1,0.02,0.84,0.14
1081314,2023-03-01,80,0.01,0.79,0.19
1081315,2023-03-01,33,0.01,0.51,0.48
1081316,2023-03-01,45,0.05,0.94,0.01
1081317,2023-03-01,-1,0.13,0.83,0.03
1081319,2023-03-01,-1,0.03,0.23,0.74
1081320,2023-03-01,-1,0.03,0.26,0.7
1081321,2023-03-01,86,0.06,0.93,0.01
1081322,2023-03-01,68,0.03,0.85,0.12
1081323,2023-03-01,-1,0.06,0.93,0.01
1081324,2023-03-01,48,0.24,0.75,0.01
1081325,2023-03-01,161,0.1,0.82,0.08
1081326,2023-03-01,14,0.03,0.95,0.02
1081327,2023-03-01,21,0.02,0.49,0.49
1081328,2023-03-01,66,0.07,0.91,0.03
1081329,2023-03-01,33,0.02,0.48,0.5
1081330,2023-03-01,21,0.01,0.56,0.43
1081331,2023-03-01,14,0.03,0.96,0.02
1081332,2023-03-01,-1,0.03,0.26,0.71
1081333,2023-03-01,14,0.03,0.95,0.02
1081334,2023-03-01,-1,0.01,0.14,0.85
1081335,2023-03-01,-1,0.01,0.13,0.85
1081336,2023-03-01,-1,0.97,0.03,0.0
1081338,2023-03-01,3,0.03,0.4,0.57
1081339,2023-03-01,-1,0.02,0.29,0.69
1081340,2023-03-01,128,0.02,0.96,0.02
1081341,2023-03-01,-1,0.03,0.94,0.03
1081342,2023-03-01,21,0.07,0.9,0.03
1081343,2023-03-01,-1,0.01,0.07,0.92
1081344,2023-03-01,48,0.05,0.93,0.02
1081345,2023-03-01,33,0.02,0.68,0.3
1081346,2023-03-01,-1,0.19,0.68,0.13
1081347,2023-03-01,33,0.02,0.95,0.03
1081348,2023-03-01,33,0.22,0.69,0.09
1081349,2023-03-01,-1,0.87,0.13,0.01
1081350,2023-03-01,67,0.22,0.7,0.08
1081351,2023-03-01,-1,0.01,0.16,0.84
1081352,2023-03-01,-1,0.02,0.54,0.44
1081353,2023-03-01,48,0.05,0.94,0.01
1081354,2023-03-01,33,0.01,0.38,0.6
1081355,2023-03-01,21,0.05,0.82,0.14
1081356,2023-03-01,48,0.06,0.91,0.03
1081359,2023-03-01,65,0.02,0.68,0.29
1081360,2023-03-01,-1,0.02,0.59,0.39
1081361,2023-03-01,-1,0.01,0.68,0.3
1081362,2023-03-01,187,0.03,0.4,0.58
1081363,2023-03-01,-1,0.97,0.02,0.01
1081364,2023-03-01,21,0.02,0.72,0.26
1081365,2023-03-01,33,0.05,0.9,0.06
1081366,2023-03-01,21,0.01,0.3,0.7
1081367,2023-03-01,21,0.05,0.6,0.35
1081368,2023-03-01,33,0.04,0.94,0.02
1081369,2023-03-01,0,0.06,0.93,0.01
1081370,2023-03-01,33,0.01,0.43,0.56
